English,Hindi
assign,सौंपना
assignment,कार्यभार
assist,सहायता देना
assistance,सहायता
assistant,सहायक
associate,संबंद्ध करना
association,संगठन
assume,मान लेना
assumption,कल्पना
assure,सुनिश्चित
at,किया
athlete,धावक
athletic,पुष्ट
atmosphere,वायुमंडल
attach,संलग्न करना
attack,हमला
attempt,कोशिश करना
attend,वेट्स
attention,चेतावनी
attitude,रवैया
attorney,प्रतिनिधि
attract,आकर्षित
attractive,आकर्षक
attribute,विशेषता
audience,श्रोता
author,लेखक
authority,प्राधिकरण
auto,गाड़ी
available,उपलब्ध
average,औसत
avoid,बचना
award,पुरस्कार
aware,अवगत
awareness,जागरूकता
away,दूर
awful,बहुत बढ़िया
baby,शिशु
back,पीछे
background,पार्श्वभूमि
bad,बुरा
badly,बुरी तरह
bag,थैला
bake,सेंकना
balance,संतुलन
ball,गेंद
ban,प्रतिबंध
band,बैंड
bank,बैंक
bar,छड़
barely,मुश्किल से
barrel,बैरल
barrier,बाधाओं
base,आधार
baseball,बेसबॉल
basic,बुनियादी
basically,मूल रूप से
basis,आधार
basket,बास्केटबाल
basketball,बास्केटबाल
bathroom,स्नानघर
battery,बैटरी
battle,युद्ध
be,होना
beach,सागरतट
bean,सेम
bear,सहना
beat,हराना
beautiful,सुंदर
beauty,सुंदरता
because,इसलिये
become,बनना
bed,बिस्तर
bedroom,शयनकक्ष
beer,बीयर
before,इससे पहले
begin,शुरू करना
beginning,शुरुआत
behavior,व्‍यवहार
behind,पीछे
being,प्राणी
belief,विश्वास
believe,मानना
bell,सुंदर
belong,संबंधित होना
below,नीचे
belt,बेल्ट
bench,बेंच
bend,झुकना
beneath,नीचे
benefit,फायदा
beside,पास
besides,के अतिरिक्त
best,श्रेष्ठ
bet,शर्त
better,बेहतर
between,के बीच
beyond,आगे
Bible,बाइबिल
big,बड़ा
bike,साइकिल
bill,बिल
billion,खरब
bind,बाँधना
biological,जैविक
bird,चिड़िया
birth,जन्म
birthday,जन्मदिन
bit,काटा
bite,मुर्गा
black,काला
blade,ब्लेड
blame,आरोप
blanket,कंबल
blind,अंधा
block,खंड मैथा
blood,रक्त
blow,फुंक मारा
blue,नीला
board,मंडल
boat,नाव
body,तन
bomb,बम
bombing,बम विस्फोट
bond,कूदना
bone,हड्डी
book,किताब
boom,बूम
boot,घुटनों तक पहने जाने वाले जूते
border,सीमा
born,पैदा होना
borrow,उधार
boss,रोब जमाना
both,दोनों
bother,परेशान करना
bottle,बोतल
bottom,नीचे
boundary,सीमा
bowl,कटोरा
box,डिब्बा
boy,लड़का
boyfriend,दोस्त
brain,दिमाग
branch,शाखा
brand,ब्रैंड
bread,रोटी
break,टूटना
breakfast,सुबह का नाश्ता
breast,स्तन
breath,साँस लेना
breathe,साँस लेना
brick,ब्रगि
bridge,पुल
brief,संक्षिप्त
briefly,संक्षिप्त
bright,चमकदार
brilliant,बहुत खूब
bring,लाओ
British,अंग्रेजों
broad,चौड़ा
broken,टूटी हुई
brother,भाई
brown,भूरा
brush,ब्रश
buck,बक
budget,बजट
build,बनाना
building,इमारत
bullet,गोली
bunch,गुच्छा
burden,बोझ
burn,जलाना
bury,दफ़नाना
bus,बस
business,व्यापार
busy,व्यस्त
but,उद्देश्य
butter,मक्खन
button,बटन
buy,खरीदना
buyer,क्रेता
by,द्वारा
cabin,केबिन
cabinet,कार्यालय
cable,केबल
cake,केक
calculate,calculate
call,बुलाना
camera,कैमरा
camp,शिविर
campaign,अभियान
campus,कैंपस
can,कर सकते हैं
Canadian,कैनेडियन
cancer,कैंसर
candidate,उम्मीदवार
cap,पाठ्यक्रम
capability,क्षमता
capable,काबिल
capacity,क्षमता
capital,राजधानी
captain,कप्तान
capture,कब्जा
car,इसलिये
carbon,कार्बन
card,कार्ड
care,ध्यान
career,करियर
careful,सावधान
carefully,सावधानी से
carrier,वाहक
carry,ले जाना
case,डिब्बा
cash,नकद
cast,फेंकना
cat,बिल्ली
catch,पकड़
category,श्रेणी
Catholic,कैथोलिक
cause,कारण
ceiling,छत
celebrate,जश्न
celebration,उत्सव
celebrity,सेलिब्रिटी
cell,कक्ष
center,केंद्र
central,केंद्रीय
century,सदी
CEO,सीईओ
ceremony,अनुष्ठानिक
certain,निश्चित
certainly,निश्चित रूप से
chain,जंजीर
chair,माँस
chairman,अध्यक्ष
challenge,चुनौती
chamber,शयनकक्ष
champion,चैंपियन
championship,चैंपियनशिप
chance,मोका
change,लेन देन
changing,बदलना
channel,चैनल
chapter,अध्याय
character,चरित्र
characteristic,विशेषता
characterize,विशेषताएँ
charge,शुल्क
charity,दान पुण्य
chart,चार्ट
chase,पीछा
cheap,सस्ता
check,जांच
cheek,गाल
cheese,पनीर
chef,मुखिया
chemical,रासायनिक
chest,छाती
chicken,मुर्गा
chief,नेता
child,बच्चा
childhood,बचपन
Chinese,चीनी
chip,चिप्स
chocolate,चॉकलेट
choice,पसंद
cholesterol,कोलेस्ट्रॉल
choose,चुनें
Christian,ईसाई
Christmas,क्रिसमस
church,गिरजाघर
cigarette,सिगरेट
circle,घेरा
circumstance,परिस्थिति
cite,उद्धृत
citizen,नागरिक
city,शहर
civil,नागरिक
civilian,असैनिक
claim,दावा
class,कक्षा
classic,क्लासिक
classroom,कक्षा
clean,स्वच्छ
clear,स्पष्ट
clearly,स्पष्ट रूप से
client,ग्राहक
climate,जलवायु
climb,चढना
clinic,क्लीनिकल
clinical,क्लीनिकल
clock,घड़ी
close,बंद करना
closely,निकट से
closer,करीब
clothes,कपड़े
clothing,कपड़े
cloud,बादलों
club,क्लब
clue,संकेत
cluster,झुंड
coach,प्रशिक्षक
coal,कोयला
coalition,गठबंधन
coast,तट
coat,परत
code,कोडित
coffee,कॉफ़ी
cognitive,संज्ञानात्मक
cold,ठंडा
collapse,गिर जाना
colleague,साथ काम करने वाला
collect,इकट्ठा करना
collection,संग्रह
collective,सामूहिक
college,मिडिल स्कूल
colonial,औपनिवेशिक
color,रंग
column,कॉलम
combination,संयोजन
combine,संयुक्त
come,पसंद करना
comedy,कॉमेडी
comfort,आरामदेह
comfortable,आरामदेह
command,आज्ञा
commander,गण
comment,कैसे? ‘या‘ क्या?
commercial,व्यावसायिक
commission,आयोग
commit,वादा करना
commitment,प्रतिबद्धता
committee,समिति
common,सामान्य
communicate,बातचीत करना
communication,संचार
community,समुदाय
company,कंपनी
compare,तुलना
comparison,तुलना
compete,पूरा
competition,मुकाबला
competitive,प्रतिस्पर्द्धी
competitor,प्रतियोगी
complain,शिकायत करना
complaint,विलाप
complete,पूरा
completely,पूरी तरह
complex,जटिल
complicated,उलझा हुआ
component,अवयव
compose,मिश्रण
composition,संयोजन
comprehensive,विस्तृत
computer,संगणक
concentrate,ध्यान केंद्रित करना
concentration,एकाग्रता
concept,संकल्पना
concern,सम्बंधित
concerned,शामिल
concert,संगीत समारोह
conclude,निष्कर्ष निकालना
conclusion,निष्कर्ष
concrete,ठोस
condition,स्थि‍ति
conduct,चलाना
conference,सम्मेलन
confidence,आत्मविश्वास
confident,विश्वासपात्र
confirm,की पुष्टि की
conflict,टकराव
confront,सामना होना
confusion,उलझन
Congress,कांग्रेस
congressional,कांग्रेस
connect,जुडिये
connection,संबंध
consciousness,चेतना
consensus,आम सहमति
consequence,नतीजा
conservative,अपरिवर्तनवादी
consider,विचार करना
considerable,विचारणीय
consideration,सोच–विचार
consist,बना होना
consistent,निहित होना
constant,लगातार
constantly,लगातार
constitute,गठित करना
constitutional,संवैधानिक
construct,निर्माण
construction,निर्माण
consultant,सलाहकार
consume,उपभोग करना
consumer,उपभोक्ता
consumption,उपभोग
contact,संपर्क Ajay करें
contain,रोकना
container,पात्र
contemporary,समकालीन
content,प्रसन्न
contest,प्रतियोगिता
context,पार्श्वभूमि
continue,जारी रखिए
continued,निरंतर
contract,अनुबंध
contrast,अंतर
contribute,योगदान देना
contribution,योगदान
control,नियंत्रण
controversial,विवादित
controversy,विवाद
convention,समझौता
conventional,पारंपरिक
conversation,बातचीत
convert,बदलना
conviction,दोषसिद्धि
convince,मनवाना
cook,बावर्ची
cookie,कुकीज़
cooking,खाना बनाना
cool,ठंडा
cooperation,सहयोग
cop,पुलिस
cope,सामना करना
copy,प्रतिलिपि
core,सार
corn,सींग
corner,कोना
corporate,निगमित
corporation,निगम
correct,सही
correspondent,अनुरूप
cost,लागत
cotton,कपास
couch,सोफ़ा
could,सकता है
council,परिषद
counselor,काउंसलर
count,गिनती करना
counter,विरोध करना
country,देश
county,काउंटी
couple,जोड़ा
courage,साहस
course,जाति
court,कम
cousin,चचेरा भाई
cover,ढकना
coverage,कवरेज
cow,गाय
crack,दरार
craft,शिल्प
crash,टकरा जाना
crazy,पागल
cream,मलाई
create,सृजन करना
creation,निर्माण
creative,रचनात्मक
creature,जंतु
credit,श्रेय
crew,कर्मी दल
crime,अपराध
criminal,आपराधिक
crisis,संकट
criteria,मानदंड
critic,समीक्षक
critical,नाजुक
criticism,आलोचना
criticize,आलोचना करना
crop,काटना
cross,पार
crowd,जन सैलाब
crucial,महत्वपूर्ण
cry,रोना
cultural,सांस्कृतिक
culture,संस्कृति
cup,कप
curious,जिज्ञासु
current,वर्तमान
currently,वर्तमान में
curriculum,पाठ्यक्रम
custom,रीति
customer,ग्राहक
cut,कट गया
cycle,चक्र
dad,पापा
daily,रोज
damage,क्षति
dance,नृत्य
danger,खतरा
dangerous,खतरनाक
dare,हिम्मत
dark,अँधेरा
darkness,अंधेरा
data,जानकारी
date,दिनांक
daughter,बेटी
day,दिन
dead,मृत
deal,सौदा
dealer,विक्रेता
dear,प्रिय
death,मौत
debate,बहस
debt,का कर्ज
decade,दशक
decide,तय करना
decision,फेसला
deck,जहाज़ की छत
declare,घोषित
decline,पतन
decrease,कमी
deep,गहरा
deeply,गहरा
deer,हिरन
defeat,हार
defend,रक्षा करना
defendant,प्रतिवादी
defense,रक्षा
defensive,बचाव
deficit,घाटा
define,परिभाषित करना
definitely,निश्चित रूप से
definition,परिभाषा
degree,डिग्री
delay,देरी
deliver,बाँटना
delivery,वितरण
demand,मांग
democracy,लोकतंत्र
Democrat,प्रजातंत्रवादी
democratic,लोकतांत्रिक
demonstrate,दिखाना
demonstration,प्रदर्शन
deny,अस्वीकार करना
department,विभाग
depend,निर्भर करना
dependent,आश्रित
depending,निर्भर करता है
depict,चित्रित
depression,डिप्रेशन
depth,गहराई
deputy,डिप्टी
derive,निकाले जाते हैं
describe,वर्णन करना
description,विवरण
desert,रेगिस्तान
deserve,योग्य होना
design,डिजाईन
designer,डिजाइनर
desire,इच्छा
desk,मेज़
desperate,बेकरार
despite,इसके बावजूद
destroy,नष्ट करना
destruction,विनाश
detail,विवरण
detailed,विस्तृत
detect,पता लगाना
determine,ठानना
develop,विकास करना
developing,विकसित होना
development,विकास
device,उपकरण
devote,समर्पित
dialogue,वार्ता
die,मरना
diet,आहार
differ,अलग होना
difference,अंतर
different,विभिन्न
differently,अलग ढंग से
difficult,कठिन
difficulty,कठिनाई
dig,गड्ढा करना
digital,डिजिटल
dimension,आयाम
dining,भोजन
dinner,रात का खाना
direct,प्रत्यक्ष
direction,दिशा
directly,सीधे
director,निर्देशक
dirt,गंध
dirty,गंदा
disability,विकलांगता
disagree,असहमत
disappear,गायब होना
disaster,आपदा
discipline,अनुशासन
discourse,प्रवचन
discover,खोज करना
discovery,खोज
discrimination,भेदभाव
discuss,चर्चा करें
discussion,बहस
disease,बीमारी
dish,व्यंजन
dismiss,नकार देना
disorder,विकार
display,दिखाना
dispute,विवाद
distance,दूरी
distant,दूरस्थ
distinct,अलग
distinction,भेद
distinguish,अंतर करना
distribute,बांटो
distribution,वितरण
district,जिला Seoni
diverse,विविध
diversity,विविधता
divide,विभाजित करना
division,विभाजन
divorce,तलाक
DNA,डीएनए
do,करना
doctor,चिकित्सक
document,दस्तावेज़
dog,कुत्ता
domestic,घरेलू
dominant,प्रभुत्व वाला
dominate,हावी होना
door,द्वार
double,दोहरा
doubt,शक
down,नीचे
downtown,शहर
dozen,दर्जन
draft,प्रारूप
drag,खींचें
drama,नाटक
dramatic,नाटकीय
dramatically,नाटकीय रूप से
draw,चित्र बनाना
drawing,चित्रकारी
dream,सपना
dress,पोशाक
drink,पीना
drive,चलाना
driver,चालक
drop,बूंद
drug,दवा
dry,सूखा
due,बकाया
during,दौरान
dust,धूल
duty,कर्तव्य
each,प्रत्येक
eager,आतुर
ear,कान
early,जल्दी
earn,कमाना
earnings,आय
earth,धरती
ease,आराम
easily,सरलता
east,पूर्व
eastern,पूर्व का
easy,आसान
eat,खाना खा लो
economic,आर्थिक
economics,अर्थशास्त्र
economist,अर्थशास्त्री
economy,अर्थव्यवस्था
edge,किनारा
edition,संस्करण
editor,संपादक
educate,शिक्षित
education,शिक्षा
educational,शिक्षात्मक
educator,शिक्षक
effect,प्रभाव
effective,प्रभावी
effectively,प्रभावी रूप से
efficiency,क्षमता
efficient,दक्ष
effort,कोशिश
egg,अंडा
eight,आठ
either,या
elderly,बुज़ुर्ग
elect,इलेक्ट्रोनिक
election,चुनाव
electric,बिजली
electricity,बिजली
electronic,इलेक्ट्रोनिक
element,तत्व
elementary,प्राथमिक
eliminate,हटाना
elite,अभिजात वर्ग
else,वरना
elsewhere,कहीं
e-mail,ईमेल
embrace,अपनाना
emerge,उभरना
emergency,आपातकालीन
emission,उत्सर्जन
emotion,भावना
emotional,भावनात्मक
emphasis,ज़ोर
emphasize,ज़ोर देना
employ,काम
employee,कर्मचारी
employer,नियोक्ता
employment,रोज़गार
empty,खाली
enable,सक्षम करना
encounter,मुठभेड़
encourage,प्रोत्साहित करना
end,समाप्त
enemy,शत्रु
energy,ऊर्जा
enforcement,प्रवर्तन
engage,व्यस्त रखना
engine,यन्त्र
engineer,इंजीनियर
engineering,अभियांत्रिकी
English,अंग्रेज़ी
enhance,बढ़ाना
enjoy,का आनंद लें
enormous,विशाल
enough,पर्याप्त
ensure,सुनिश्चित करना
enter,प्रवेश करना
enterprise,उद्यम
entertainment,मनोरंजन
entire,संपूर्ण
entirely,पूरी तरह से
entrance,प्रवेश
entry,प्रवेश
environment,वातावरण
environmental,पर्यावरण
episode,प्रकरण
equal,बराबर
equally,समान रूप से
equipment,उपकरण
era,युग
error,गलती
escape,बच निकलना
especially,विशेषकर
essay,निबंध
essential,ज़रूरी
essentially,अनिवार्य रूप से
establish,स्थापित करना
establishment,स्थापना
estate,जागीर
estimate,आकलन
etc,आदि
ethics,आचार विचार
ethnic,संजाति विषयक
European,यूरोपीय
evaluate,मूल्यांकन करना
evaluation,मूल्यांकन
even,यहाँ तक की
evening,शाम
event,प्रतिस्पर्धा
eventually,आखिरकार
ever,कभी
every,हर एक
everybody,हर कोई
everyday,हर दिन
everyone,हर कोई
everything,हर चीज़
everywhere,हर जगह
evidence,प्रमाण
evolution,क्रमागत उन्नति
evolve,विकसित होना
exact,सटीक
exactly,बिल्कुल
examination,इंतिहान
examine,की जांच
example,उदाहरण
exceed,सीमा पार करना
excellent,अति उत्कृष्ट
except,के अलावा
exception,अपवाद
exchange,लेन देन
exciting,रोमांचक
executive,कार्यपालक
exercise,व्यायाम
exhibit,दिखाना
exhibition,प्रदर्शनी
exist,मौजूद
existence,अस्तित्व
existing,मौजूदा
expand,विस्तार
expansion,विस्तार
expect,अपेक्षा करना
expectation,अपेक्षा
expense,व्यय
expensive,महंगा
experience,अनुभव
experiment,प्रयोग
expert,विशेषज्ञ
explain,समझाना
explanation,व्याख्या
explode,विस्फोट
explore,अन्वेषण करना
explosion,विस्फोट
expose,खुलासा
exposure,संसर्ग
express,अभिव्यक्त करना
expression,अभिव्यक्ति
extend,बढ़ाना
extension,विस्तार
extensive,बहुत बड़ा
extent,क्षेत्र
external,बाहरी
extra,अतिरिक्त
extraordinary,असाधारण
extreme,चरम
extremely,बहुत ज़्यादा
eye,आँख
fabric,कपड़ा
face,चेहरा
facility,सुविधा
fact,तथ्य
factor,कारक
factory,कारखाना
faculty,संकाय
fade,हल्का होना
fail,विफल
failure,असफलता
fair,निष्पक्ष
fairly,अच्छी तरह से
faith,आस्था
fall,गिरना
FALSE,असत्य
familiar,परिचित
family,परिवार
famous,प्रसिद्ध
fan,प्रशंसक
fantasy,कल्पना
far,दूर
farm,खेत
farmer,किसान
fashion,फ़ैशन
fast,तेज़
fat,मोटा
fate,भाग्य
father,पिता
fault,दोष
favor,पक्ष
favorite,पसंदीदा
fear,डर
feature,विशेषता
federal,संघीय
fee,शुल्क
feed,चारा
feel,अनुभव करना
feeling,भावना
fellow,साथी
female,महिला
fence,बाड़
few,कुछ
fewer,से कम
fiber,रेशा
fiction,उपन्यास
field,खेत
fifteen,पंद्रह
fifth,पांचवां
fifty,पचास
fight,लड़ाई
fighter,योद्धा
fighting,लड़ाई करना
figure,आकृति
file,फ़ाइल
fill,भरना
film,पतली परत
final,अंतिम
finally,आखिरकार
finance,वित्त
financial,वित्तीय
find,पाना
finding,खोज
fine,ठीक
finger,उँगलिया
finish,समाप्त
fire,आग
firm,दृढ़
first,पहला
fish,मछली
fishing,मछली पकड़ने
fit,उपयुक्त
fitness,स्वास्थ्य
five,पांच
fix,हल करना
flag,झंडा
flame,ज्योति
flat,समतल
flavor,स्वाद
flee,भागना
flesh,माँस
flight,उड़ान
float,पानी पर तैरना
floor,मंज़िल
flow,बहे
flower,फूल
fly,उड़ना
focus,केंद्र
folk,लोक
follow,पालन ​​करना
following,निम्नलिखित
food,भोजन
foot,पैर
football,फ़ुटबॉल
for,के लिये
force,ताकत
foreign,विदेशी
forest,वन
forever,उम्र भर
forget,भूल जाओ
form,प्रपत्र
formal,औपचारिक
formation,गठन
former,भूतपूर्व
formula,सूत्र
forth,आगे
fortune,सौभाग्य
forward,आगे
found,मिल गया
foundation,नींव
founder,संस्थापक
four,चार
fourth,चौथी
frame,चौखटा
framework,रूपरेखा
free,नि: शुल्क
freedom,स्वतंत्रता
freeze,जमाना
French,फ्रेंच
frequency,आवृत्ति
frequent,अक्सर
frequently,बार–बार
fresh,ताज़ा
friend,दोस्त
friendly,दोस्ताना
friendship,मित्रता
from,से
front,सामने
fruit,फल
frustration,निराशा
fuel,ईंधन
full,भरा हुआ
fully,पूरी तरह से
fun,मज़ा
function,समारोह
fund,निधि
fundamental,मौलिक
funding,वित्त पोषण
funeral,मैयत
funny,मज़ेदार
furniture,फर्नीचर
furthermore,आगे
future,भविष्य
gain,बढ़त
galaxy,आकाशगंगा
gallery,गेलरी
game,खेल
gang,गिरोह
gap,अंतर
garage,गराज
garden,बगीचा
garlic,लहसुन
gas,गैस
gate,दरवाज़ा
gather,इकट्ठा करना
gay,समलैंगिक
gaze,निगाहें
gear,गियर
gender,लिंग
gene,जीन
general,सामान्य
generally,आम तौर पर
generate,बनाना
generation,पीढ़ी
genetic,जेनेटिक
gentleman,सज्जन
gently,धीरे
German,जर्मन
gesture,हाव–भाव
get,प्राप्त
ghost,भूत
giant,बहुत बड़ा
gift,उपहार
gifted,प्रतिभाशाली
girl,लड़की
girlfriend,दोस्त
give,देना
given,दिया गया
glad,प्रसन्न
glance,नज़र
glass,कांच
global,वैश्विक
glove,दस्ताना
go,जाओ
goal,लक्ष्य
God,भगवान
gold,सोना
golden,स्वर्ण
golf,गोल्फ़
good,अच्छा
government,सरकार
governor,राज्यपाल
grab,लपकना
grade,श्रेणी
gradually,धीरे–धीरे
graduate,स्नातक
grain,अनाज
grand,बड़ा
grandfather,दादा
grandmother,दादी मा
grant,देना
grass,घास
grave,गंभीर
gray,स्लेटी
great,महान
greatest,महानतम
green,हरा
grocery,किराना
ground,मैदान
group,समूह
grow,बढ़ना
growing,बढ़ रही है
growth,वृद्धि
guarantee,गारंटी
guard,रक्षक
guess,अनुमान लगाना
guest,अतिथि
guide,मार्गदर्शक
guideline,दिशानिर्देश
guilty,अपराधी
gun,बंदूक
guy,लोग
habit,आदत
habitat,प्राकृतिक वास
hair,केश
half,आधा
hall,बड़ा कमरा
hand,हाथ
handful,मुट्ठी
handle,सँभालना
hang,टांगना
happen,होना
happy,प्रसन्न
hard,कठिन
hardly,मुश्किल से
hat,टोपी
hate,नफ़रत करना
have,पास होना
he,वह
head,सिर
headline,शीर्षक
headquarters,मुख्यालय
health,स्वास्थ्य
healthy,स्वस्थ
hear,सुनो
hearing,सुनवाई
heart,हृदय
heat,गर्मी
heaven,स्वर्ग
heavily,भारी
heavy,अधिक वज़नदार
heel,एड़ी
height,कद
helicopter,हेलीकॉप्टर
hell,नरक
hello,नमस्ते
help,मदद करना
helpful,मददगार
her,उसकी
here,यहां
heritage,विरासत
hero,नायक
herself,स्वयं
hey,अरे
hi,नमस्ते
hide,छिपाना
high,उच्च
highlight,प्रमुखता से दिखाना
highly,अत्यधिक
highway,हाइवे
hill,पहाड़ी
him,उसे
himself,वह स्वयं
hip,कूल्हा
hire,किराये पर लेना
his,उसके
historian,इतिहासकार
historic,ऐतिहासिक
historical,ऐतिहासिक
history,इतिहास
hit,मारो
hold,पकड़
hole,छेद
holiday,छुट्टी का दिन
holy,पवित्र
home,घर
homeless,बेघर
honest,ईमानदार
honey,शहद
honor,सम्मान
hope,आशा
horizon,क्षितिज
horror,डरावना
horse,घोड़ा
hospital,अस्पताल
host,मेज़बान
hot,गरम
hotel,होटल
hour,घंटा
house,मकान
household,परिवार
housing,आवास
how,कैसे
however,हालांकि
huge,विशाल
human,मानव
humor,हास्य
hundred,सौ
hungry,भूखा
hunter,शिकारी
hunting,शिकार करना
hurt,आहत
husband,पति
hypothesis,परिकल्पना
I,मैं
ice,बर्फ
idea,विचार
ideal,आदर्श
identification,पहचान
identify,पहचानना
identity,पहचान
ie,अर्थात
if,यदि
ignore,नज़रअंदाज़ करना
ill,बीमार
illegal,गैरकानूनी
illness,बीमारी
illustrate,उदाहरण देकर स्पष्ट करना
image,छवि
imagination,कल्पना
imagine,कल्पना करना
immediate,तुरंत
immediately,तुरंत
immigrant,आप्रवासी
immigration,अप्रवासन
impact,प्रभाव
implement,अमल में लाना
implication,निहितार्थ
imply,मतलब
importance,महत्त्व
important,महत्वपूर्ण
impose,थोपना
impossible,असंभव
impress,प्रभावित करना
impression,प्रभाव जमाना
impressive,प्रभावशाली
improve,सुधारें
improvement,सुधार
in,में
incentive,प्रोत्साहन
incident,घटना
include,शामिल
including,समेत
income,आय
incorporate,शामिल
increase,बढ़ोतरी
increased,बढ़ी हुई
increasing,की बढ़ती
increasingly,तेजी से
incredible,अविश्वसनीय
indeed,वास्तव में
independence,आजादी
independent,स्वतंत्र
index,अनुक्रमणिका
Indian,भारतीय
indicate,संकेत देना
indication,संकेत
individual,व्यक्तिगत
industrial,औद्योगिक
industry,उद्योग
infant,बच्चा
infection,संक्रमण
inflation,मुद्रा स्फ़ीति
influence,प्रभाव
inform,बताना
information,जानकारी
ingredient,घटक
initial,शुरुआती
initially,शुरू में
initiative,पहल
injury,चोट
inner,भीतरी
innocent,मासूम
inquiry,जाँच करना
inside,अंदर
insight,अंतर्दृष्टि
insist,ज़ोर देना
inspire,प्रेरित करना
install,इंस्टॉल
instance,उदाहरण
instead,बजाय
institution,संस्थान
institutional,संस्थागत
instruction,अनुदेश
instructor,प्रशिक्षक
instrument,वाद्य यंत्र
insurance,बीमा
intellectual,बौद्धिक
intelligence,बुद्धि
intend,इरादा रखना
intense,गहन
intensity,तीव्रता
intention,इरादा
interaction,परस्पर क्रिया
interest,रुचि
interested,दिलचस्पी लेने वाला
interesting,दिलचस्प
internal,आंतरिक
international,अंतरराष्ट्रीय
Internet,इंटरनेट
interpret,व्याख्या करना
interpretation,व्याख्या
intervention,हस्तक्षेप
interview,साक्षात्कार
into,में
introduce,परिचय देना
introduction,परिचय
invasion,आक्रमण
invest,निवेश करना
investigate,छान – बीन करना
investigation,जाँच पड़ताल
investigator,अन्वेषक
investment,निवेश
investor,इन्वेस्टर
invite,आमंत्रित करना
involve,शामिल होना
involved,शामिल
involvement,भागीदारी
Iraqi,इराक
Irish,आयरिश
iron,लोहा
Islamic,इस्लामी
island,द्वीप
Israeli,इजरायल
issue,मुद्दा
it,यह
Italian,इतालवी
item,वस्तु
its,इसका
itself,अपने आप
jacket,जैकेट
